F,L,N,gpa
1112,1112,8,0.6
1112,1132,24,3.85
1112,1132,23,3.35
1112,1159,44,2.65
1112,1149,14,4.04
1112,1119,13,2.75
1112,1122,12,1.31
1112,1112,7,3.53
1112,1112,5,3.8
1112,1112,6,
1112,1139,23,3.22
1112,1162,16,3.48
1112,1122,22,3.4
1112,1219,28,3.13
1112,1149,35,3.24
1112,1192,14,3.66
1112,1172,88,3.68
1112,1162,44,3.26
1112,1112,7,2.53
1112,1132,21,3.55
1112,1132,22,3.03
1112,1122,14,3.33
1112,1112,5,3.8
1112,1116,9,3.1
1112,1112,5,4.1
1112,1126,16,2.76
1112,1172,50,3.3
1112,1142,15,4.0
1112,1132,24,3.42
1112,1152,53,2.72
1112,1189,34,3.95
1112,1139,35,2.39
1112,1119,11,3.48
1112,1132,23,2.35
1112,1116,9,2.76
1112,1129,19,3.37
1112,1122,14,3.81
1112,1112,6,2.6
1112,1149,31,3.15
1112,1112,9,1.52
1112,1142,31,2.67
1112,1159,12,3.1
1112,1122,17,4.1
1112,1149,30,2.68
1112,1182,44,3.16
1112,1209,74,3.43
1112,1142,33,1.78
1112,1129,10,3.71
1112,1192,52,2.28
1112,1159,28,1.65
1112,1112,6,3.25
1112,1179,11,3.48
1112,1156,48,2.81
1112,1119,7,3.75
1112,1229,47,3.67
1112,1119,8,4.0
1112,1119,6,3.6
1112,1129,20,2.04
1112,1152,35,3.3
1112,1142,18,3.6
1112,1152,16,3.15
1112,1159,14,2.46
1112,1182,21,3.91
1112,1172,22,3.75
1112,1172,31,2.57
1112,1129,10,3.38
1112,1152,32,2.57
1112,1209,28,2.35
1112,1146,33,3.45
1112,1192,49,2.67
1112,1136,26,3.16
1112,1156,26,3.83
1112,1122,14,2.35
1112,1112,8,3.66
1112,1112,5,
1112,1139,15,2.42
1112,1129,11,3.3
1112,1112,6,3.1
1112,1129,10,2.1
1112,1146,27,2.92
1112,1149,40,3.18
1112,1112,8,3.17
1112,1162,44,3.44
1112,1122,18,2.58
1112,1212,30,3.02
1112,1192,36,3.24
1112,1112,5,
1112,1139,22,3.05
1112,1112,8,2.5
1112,1119,10,1.86
1112,1169,36,2.64
1112,1212,24,2.16
1112,1189,37,2.91
1112,1122,15,1.35
1112,1182,48,2.67
1112,1122,19,3.94
1112,1116,11,1.45
1112,1159,47,3.38
1112,1122,16,2.45
1112,1162,40,3.7
1112,1189,44,2.2
1112,1112,7,3.4
1112,1152,52,2.68
1112,1119,12,3.56
1112,1202,65,2.32
1112,1189,15,4.1
1112,1192,72,4.06
1112,1119,9,
1112,1122,16,1.9
1112,1129,23,3.15
1112,1112,8,3.52
1112,1152,31,3.55
1112,1112,7,
1112,1122,7,3.86
1112,1119,13,
1112,1132,26,3.76
1112,1129,17,3.06
1112,1212,40,2.81
1112,1112,10,3.21
1112,1192,60,3.39
1112,1152,38,2.6
1112,1112,7,4.0
1112,1219,20,3.6
1112,1126,19,2.5
1112,1159,39,2.65
1112,1179,27,3.59
1112,1122,12,1.1
1112,1126,12,3.57
1112,1132,18,3.89
1112,1116,8,2.92
1112,1179,33,2.3
1112,1112,6,3.95
1112,1129,17,2.56
1112,1122,15,3.27
1112,1129,13,3.81
1112,1112,7,0.76
1112,1112,5,2.8
1112,1132,20,1.76
1112,1122,11,3.71
1112,1156,40,2.81
1112,1112,8,3.76
1112,1132,19,3.96
1112,1132,22,3.77
1112,1139,30,3.4
1112,1112,10,3.43
1112,1119,10,2.4
1112,1149,37,3.97
1112,1152,29,2.61
1112,1112,5,
1112,1112,7,0.1
1112,1222,64,3.84
1112,1112,5,
1112,1116,7,3.76
1112,1172,42,3.69
1112,1146,14,3.06
1112,1162,41,2.8
1112,1146,28,2.68
1112,1119,8,2.75
1112,1142,23,3.18
1112,1112,8,2.27
1112,1142,24,2.16
1112,1112,8,0.35
1112,1156,47,2.88
1112,1122,12,2.93
1112,1182,38,2.65
1112,1139,13,2.67
1112,1182,46,3.4
1112,1119,12,3.1
1112,1112,6,3.95
1112,1189,50,2.08
1112,1132,15,3.92
1112,1142,37,2.78
1112,1129,20,2.42
1112,1162,36,2.45
1112,1126,20,1.13
1112,1159,45,2.75
1112,1139,25,2.28
1112,1112,6,4.1
1112,1119,14,3.2
1112,1112,9,3.04
1112,1132,29,2.78
1112,1129,18,3.15
1112,1192,20,4.07
1112,1132,35,2.25
1112,1122,13,1.31
1112,1132,10,4.04
1112,1112,8,3.95
1112,1122,7,3.95
1112,1112,6,
1112,1149,31,3.04
1112,1132,14,2.46
1112,1129,11,4.01
1112,1139,20,3.06
1112,1119,16,2.76
1112,1142,30,3.3
1112,1126,14,3.63
1112,1132,17,3.21
1112,1112,8,3.92
1112,1122,19,2.36
1112,1122,8,3.27
1112,1119,11,2.62
1112,1182,50,3.45
1112,1142,32,2.48
1112,1119,13,3.23
1112,1119,14,3.47
1112,1119,14,2.85
1112,1112,6,
1112,1142,20,2.81
1112,1112,6,
1112,1122,16,2.28
1112,1142,36,3.51
1112,1182,54,3.94
1112,1159,18,4.1
1112,1122,16,3.5
1112,1112,5,4.1
1112,1139,24,3.36
1112,1129,12,3.22
1112,1132,16,3.49
1112,1132,29,2.92
1112,1142,20,3.48
1112,1152,28,2.62
1112,1116,9,2.1
1112,1122,12,1.1
1112,1112,9,
1112,1192,14,3.5
1112,1112,6,4.1
1112,1152,19,3.25
1112,1142,28,3.33
1112,1129,18,3.2
1112,1212,32,3.75
1112,1129,20,2.66
1112,1122,16,2.66
1112,1142,37,3.79
1112,1119,6,2.8
1112,1122,8,4.1
1112,1132,19,1.81
1112,1112,6,
1112,1119,12,0.1
1112,1139,28,2.93
1112,1132,20,3.8
1112,1152,44,1.75
1112,1129,17,3.83
1112,1192,13,2.95
1112,1112,6,0.6
1112,1159,46,3.57
1112,1182,32,3.73
1112,1122,15,1.55
1112,1112,7,3.46
1112,1132,16,3.4
1112,1182,10,3.71
1112,1112,8,1.1
1112,1112,7,1.6
1112,1172,22,3.67
1112,1132,30,3.73
1112,1142,27,1.82
1112,1172,30,2.7
1112,1182,21,3.91
1112,1116,9,2.5
1112,1122,14,3.02
1112,1142,35,3.65
1112,1172,33,2.66
1112,1119,6,4.1
1112,1112,6,3.1
1112,1112,7,3.33
1112,1122,7,4.1
1112,1122,17,3.43
1112,1172,24,2.95
1112,1132,23,1.98
1112,1142,22,3.8
1112,1222,14,3.58
1112,1122,14,3.14
1112,1139,20,3.36
1112,1122,15,3.42
1112,1129,10,1.1
1112,1192,44,3.11
1112,1122,9,3.07
1112,1112,7,3.43
1112,1119,6,2.75
1112,1162,34,3.26
1112,1132,12,4.0
1112,1116,10,2.92
1112,1159,36,3.52
1112,1112,6,1.6
1112,1189,14,3.2
1112,1129,16,3.4
1112,1112,7,3.4
1112,1119,10,3.77
1112,1229,50,1.67
1112,1172,16,2.26
1112,1172,38,3.31
1112,1142,38,3.51
1112,1112,5,3.8
1112,1112,6,3.45
1112,1132,22,2.68
1112,1122,21,3.32
1112,1112,6,2.1
1112,1119,11,2.42
1112,1116,6,3.95
1112,1132,17,2.61
1112,1112,9,2.5
1112,1129,8,4.1
1112,1126,11,3.78
1112,1112,5,
1112,1222,52,3.3
1112,1119,12,2.95
1112,1162,55,2.65
1112,1129,20,2.84
1112,1112,7,2.66
1112,1122,15,3.71
1112,1126,19,4.1
1112,1209,51,2.37
1112,1112,8,3.4
1112,1202,12,3.21
1112,1132,9,3.64
1112,1132,15,3.94
1112,1132,14,3.77
1112,1162,40,2.4
1112,1112,5,2.4
1112,1122,10,3.02
1112,1129,13,3.21
1112,1162,49,2.66
1112,1142,31,2.12
1112,1152,46,2.99
1112,1112,10,3.43
1112,1146,36,3.76
1112,1202,27,3.98
1112,1152,37,3.46
1112,1146,32,3.38
1112,1189,34,3.91
1112,1112,7,0.1
1112,1129,19,3.17
1112,1142,34,3.83
1112,1149,21,3.33
1112,1192,51,2.61
1112,1129,20,2.78
1112,1136,25,2.81
1112,1149,28,2.88
